	intercept	categorical
F0	-3.070394494991643	-2.2787754953963746
F1	-1.8689219476147496	-1.0300410767143549
F2	-2.9472213184106635	-2.4032801336898295
F3	-2.4327520746605478	-3.0647388659551074
F4	-2.547129955993389	-3.8929655861637062
F5	-3.5053691318007987	-2.360553381190406
F6	-2.6907832259980795	-3.79479808494255
F7	-1.9032514737361657	-2.3684694302981617
F8	-1.689075793429202	-4.191482508974042
F9	-3.130069596575499	-3.944398748550812
F10	-4.278618509129129	-3.7058380419129273
F11	-2.4991408409061866	-3.639545486003676
F12	-3.663048766110567	-3.8430188700397445
F13	-1.9636004502062865	-2.6446465648868087
F14	-1.6179316528920908	-4.014877885754726
F15	-2.8925393784492917	-4.593371654391734
F16	-2.953064656100246	-2.8952127419089457
F17	-3.8211739327827283	-1.3680014230738176
F18	-3.6367669202893103	-2.017082091802882
F19	-2.6147979391318694	-3.838306965889878
F20	-2.151356644990229	-2.585955222857272
F21	-2.767308536788597	-2.9973263734470366
F22	-1.9051437126671957	-2.530696065239267
F23	-2.3170764749995385	-1.8094933031969775
F24	-4.593834752150896	-3.399209122961085
F25	-1.759649142781804	-3.2975298774403403
F26	-3.1393323063194565	-5.321529254309596
F27	-5.173996802557155	-2.2460120195790707
F28	-5.470879338626764	-1.4373784836787395
F29	-3.9122986227670387	-2.700145469748742
F30	-1.310025026793166	-4.387040123915071
F31	-2.894882612660288	-3.055590749180743
F32	-2.474764225278534	-4.729866715061745
F33	-2.114295076461427	-3.6231568373328558
F34	-0.8324245505140961	-2.6048692169557155
F35	-3.0151617422801325	-2.7456189115494567
F36	-1.988353682630506	-1.6301085681390826
F37	-1.927507422964709	-1.5113822264605958
F38	-5.119628306140564	-1.3934279495564181
F39	-2.6258969280093174	-3.7246644254162353
F40	-1.6233608750215158	-3.877509488982468
F41	-2.397908659249336	-1.73131967467439
F42	-4.310916874009644	-1.676098551793099
F43	-5.484332880756236	-3.8878308480024204
F44	-3.7480553275811674	-2.8891605128792253
F45	-4.0508564771399085	-2.9347097735219165
F46	-2.3459308715696503	-3.5302307824209813
F47	-1.9722265664686305	-1.1072865810455323
F48	-2.8871415043662747	-3.9272857697431034
F49	-3.0893183854587623	-3.778776213114814
F50	-4.400933100073781	-3.6377969100084995
F51	-0.4010268550906537	-1.9044504137920313
F52	-2.8385349751631614	-2.9362747050018494
F53	-4.448783062743599	-2.6174716178961472
F54	-1.9155210548763542	-3.3334427802209947
F55	-2.33423442894696	-3.1681594271102282
F56	-2.740056472523788	-3.902786591915906
F57	-3.969538309608118	-2.962373835671985
F58	-3.07085795627618	-3.2153486069248456
F59	-2.9173866840391036	-3.0069980999892056
F60	-3.110349921508361	-3.684929382543871
F61	-3.8515011519490607	-2.865072249079082
F62	-3.8016910911812687	-3.3866126693613867
F63	-5.030525676260348	-1.7767638843068947
F64	-1.6453996468967107	-2.8606520683795083
F65	-4.31421983601565	-4.443234986726723
F66	-2.5777665091067528	-3.9380437154717214
F67	-2.6053288454478283	-0.7547590917063651
F68	-3.3766179415399766	-3.822523523300365
F69	-1.6946200599457397	-2.313918649509412
F70	-1.6459368600079187	-3.386371309031631
F71	-3.8206121872904015	-2.7845983088501045
F72	-3.8127471462631584	-3.867399563935215
F73	-1.8286598723760255	-2.4533403468147537
F74	-1.4274326637441315	-3.1464220317889353
F75	-2.4677762129902647	-1.9209917541866095
F76	-3.9305028582590262	-3.7308647443569685
F77	-3.4729293391359795	-3.2968696532438257
F78	-3.2138081167496364	-5.051314613263021
F79	-2.789942959161685	-1.6488195333020839
F80	-2.9930262793280162	-3.5168060018730873
F81	-4.511479764571899	-2.8778606550227415
F82	-4.455991771879404	-3.829196945446827
F83	-2.4058157349111946	-3.8856768755892586
F84	-2.7694117886403062	-1.7998801850909627
F85	-3.703267429799893	-0.6754140642519744
F86	-2.9719578203758825	-3.3018183953968108
F87	-2.994911242715132	-2.5313311261521645
F88	-2.781770688263724	-1.9373683260120456
F89	-2.2326471664258127	-3.112483222428388
F90	-3.218652428577056	-1.1658010962654723
F91	-3.0179362349429453	-4.621908794811641
F92	-3.7077860291494833	-2.9715827010176223
F93	-4.337640058645842	-3.7199251561151176
F94	-2.4670749829284233	-1.4009433713510229
F95	-2.8194062158119637	-3.453277162824035
F96	-2.8483262849556255	-4.139827166372906
F97	-2.3221256527778884	-4.246531447758739
F98	-2.2626768303929747	-1.9835056015405526
F99	-2.903835920300965	-3.911379274748933
F100	-2.7345177217853993	-2.4090716910426244
F101	-3.3254398023959664	-5.084019746674239
F102	-2.899533010965484	-1.6606784229343843
F103	-2.925397050255695	-4.698786751559869
F104	-2.7363649425253063	-3.562310118396865
F105	-2.569521581996777	-2.605661397429448
F106	-3.1521637770497626	-2.790532495903296
F107	-3.7383074855844	-1.7971927222152977
F108	-2.678902619442182	-3.758087830716905
F109	-3.7419096241530196	-2.40889383491254
F110	-3.3176577284272883	-4.79646761707256
F111	-2.3992435839846515	-3.323051103043839
F112	-1.8299080267852403	-3.4428148695513068
F113	-4.347868075826927	-0.746040396257817
F114	-3.0257389105547503	-3.49980854303579
F115	-2.2870280466277877	-4.612817554074709
F116	-2.911017627609839	-3.361664514991134
F117	-1.9071118493072636	-3.1549796874715783
F118	-3.574979115057832	-3.703398101988271
F119	-1.7257173617324943	-2.595877410012889
F120	-3.682176462311938	-3.5913842252642443
F121	-3.104130632427269	-1.3013136410701462
F122	-2.9212676661994497	-3.8255839020526707
F123	-2.2222349886768833	-4.845574811669769
F124	-3.4783990629679815	-3.3316609853882935
F125	-1.945031002088556	-3.533842548117527
F126	-2.840139704339089	-2.0181556882760425
F127	-3.9740328701702317	-2.706466345008778
F128	-1.4241380732004776	-1.4276757934852866
F129	-2.6659063363834523	-2.2945140367255297
F130	-2.4709278531995778	-2.2101153149246366
F131	-1.8882113493649295	-2.3977249364682462
F132	-3.6421451887052547	-2.0804423564506727
F133	-1.5029545966736328	-3.9109757362597035
F134	-3.721589450586544	-1.8244969252299514
F135	-3.3871295521896063	-3.5874728456519387
F136	-4.880489948899691	-1.8874007271305884
F137	-3.0536346161631918	-3.557061143116577
F138	-0.832839946704119	-2.1652433227367496
F139	-3.462971319934518	-3.480986608938712
F140	-2.25154013009866	-5.538561887601766
F141	-2.2085481913153036	-2.7591174221986248
F142	-3.5623789593560007	-2.2884486567005076
F143	-2.867920479324869	-3.2247016196726586
F144	-1.870755807615565	-2.8795431633009105
F145	-3.866409799405173	-1.5552975164069915
F146	-4.478903509943719	-1.5137263309554987
F147	-3.689373576844443	-3.49917222145786
F148	-2.0077831826853156	-3.221076338678612
F149	-5.0640153623412	-2.675801238463396
F150	-3.6462442752683444	-3.123626303475285
F151	-5.448561031054383	-4.763887257404132
F152	-3.077452059391245	-3.30876765736809
F153	-4.1971897372378955	-3.4403183344848776
F154	-1.07146437669672	-1.4352717845024645
F155	-2.014904768573514	-4.585121797835698
F156	-2.0297939507195912	-3.363823444808995
F157	-3.0890943464740386	-1.6740401378208138
F158	-3.563654795864424	-3.3358284202663415
