	intercept	categorical
F0	-0.11249905063544574	1.1205298568737183
F1	1.5745662645190743	1.3569398514394024
F2	0.9758829123288638	0.9544892687578977
F3	1.0319443421385546	-0.921899875845863
F4	-1.8361044237887425	0.5963486106188082
F5	1.3293687245996273	0.20687687537661437
F6	0.730299060840613	0.3765201593904123
F7	1.569139792418571	0.07855573621500356
F8	1.0990447069499134	-0.268238965716467
F9	0.8781907356862254	-0.4005019527468312
F10	0.8242584847987378	0.5540250024661667
F11	1.9435389671117278	1.4930707452163738
F12	2.0456161243095785	-0.7002661419369867
F13	-0.14017836492135793	-0.1060129983036111
F14	0.5546914318648581	1.4529049588973777
F15	3.2090051561402824	3.0953705291003786
F16	1.9640515002685865	1.7993499913236932
F17	-1.0220259704720105	-0.16738771932524021
F18	0.6125616811702054	1.0197438545968218
F19	0.9504044778311316	1.9971685519152642
F20	0.2597904184149843	1.454809703042539
F21	1.094093173822329	0.9195791463225901
F22	-0.3076430764419187	-0.39473766423581513
F23	-0.19044473147955499	0.6755380545549019
F24	1.5823353466120773	2.2699807376006405
F25	1.5268315513671125	0.5642424775229932
F26	0.8049071832931485	0.3931735297955521
F27	0.31245803727354216	0.720600031804969
F28	1.1077610659895107	1.2612619622413805
F29	-1.8619340204246546	1.662970456912646
F30	2.4817118120939	1.46468084127308
F31	1.0851793902209292	1.7577610792730294
F32	-0.04597304696168303	1.8140021185861785
F33	0.46919991410166073	1.003826915168634
F34	-0.7752517093698323	1.9045396020538585
F35	0.640084649860404	0.33469875947456007
F36	3.1722982402527666	0.0021967581593171914
F37	2.314851307094336	1.3030700044298675
F38	1.430627347483408	1.40771129095345
F39	1.204709274343441	2.511890639055469
F40	1.0404637546562145	-0.7462156768565129
F41	0.9202464698221348	1.571552185054701
F42	1.1475045590835697	1.2007984740805466
F43	1.6443280928525241	0.8383240948075752
F44	1.4001373970261808	0.9514507570381723
F45	0.5901908343825222	0.4287216641719894
F46	1.1197890109115356	1.78339704486291
F47	-0.10848178825137844	0.7799148642579097
F48	0.7390361811660253	0.6360330057048973
F49	0.8029875146509424	1.0423135313828258
F50	0.8837414717952279	1.081870564622631
F51	0.12929074855987954	1.3824963962162224
F52	2.0052631688510743	0.48798034075838725
F53	-1.2591741901028604	0.712716458503396
F54	-0.5153676808176	1.077706872287317
F55	2.003206978424668	-2.12483813269792
F56	1.8588451882367492	0.5604503792328985
F57	0.9183800648888661	0.953529874974948
F58	-0.7412807078106496	3.2185027319160486
F59	2.2977695866591157	1.634891946668084
F60	1.448614518416988	0.7257421822925101
F61	1.3698761177456795	1.3253345042428082
F62	1.5557544236142617	-1.0094445892469222
F63	0.7404734420286827	0.4784287059684247
F64	1.180385948989229	2.080505761482229
F65	2.353874994873369	0.03879765015890613
F66	1.0751810685726924	0.32477368875060475
F67	-2.3047160125168533	2.355939601642601
F68	0.6463045737207256	0.5889807445926879
F69	2.31610045612947	2.5154647609844365
F70	0.4849880766762097	1.1748625627785447
F71	1.214024219123759	0.8608027917218883
F72	1.1195821001988437	1.6667547103650366
F73	1.2350647088994584	1.2963261660598762
F74	1.5415717725131866	0.0834384991505791
F75	1.5879303415045252	-0.0189735905920716
F76	1.079746182161005	-0.7898081433447011
F77	1.2652004298109973	0.9999214642731826
F78	1.641406385860149	0.22589148034591955
F79	0.19625233473641168	0.452865985844376
F80	-1.0695686362500312	1.1913246453643065
F81	0.6031201072804343	0.593090031610936
F82	-0.19574944952647377	1.066911613340633
F83	-0.1264284624945453	1.0163536341234565
F84	1.3821349634874407	0.8099539625093319
F85	1.1761987440167767	-0.03761874363131268
F86	2.424338024773705	0.5053915276784553
F87	0.47845732226534765	1.6789414692667646
F88	1.6241194161377406	1.6927404969501012
F89	0.284841699846879	0.09500082352025963
F90	1.50564095221517	0.021564465988564763
F91	1.2279521365550565	-0.029039009694898477
F92	1.738783452781419	2.2664590463582535
F93	1.6033047697278442	0.781280804618302
F94	0.805226789272211	-0.3097331906343148
F95	0.27976340627423324	1.7736188652008256
F96	0.18040777730639657	0.5436193812741861
F97	-0.3077412741169099	0.9805054194740058
F98	-0.8170522446994539	2.263284287199922
F99	1.7635908545608485	0.7015018735051088
F100	1.329450753294691	0.6286969756002485
F101	0.3161310730814689	0.7304451974933184
F102	-0.6164557630692422	-0.20689266364004788
F103	0.7192316281691292	0.9732710008733502
F104	1.0568090935247063	0.3991004777723136
F105	2.1613078516382718	-0.09635416003926256
F106	1.0954050812665432	1.3046376693409356
F107	0.3074344688237882	1.2073495941789159
F108	1.8310035846113828	-0.20781071685538444
F109	-2.3381518009857074	0.552682714311077
F110	0.9775212830026828	0.673442830266622
F111	1.1258684471261886	-1.062516550073536
F112	2.058245971776451	1.288985527227441
F113	1.4084190942431487	1.8134582615875554
F114	0.2808987241308468	1.216702897197542
F115	1.7322883329121268	0.6987735387043283
F116	0.603379898310993	0.48167823732983817
F117	2.606385841260342	1.5461620385844155
F118	0.6496481072203628	1.9456656552190357
F119	1.0661451190968183	-0.11774878084898299
F120	1.5864453566253638	1.2954312012565772
F121	-1.0781509205310518	-1.2452749798979967
F122	1.1056949786527726	2.748369056357985
F123	0.7674803474527767	1.6949180772540857
F124	1.7879892774304573	2.5482024623624477
F125	0.0735062041215393	-0.25189115404142304
F126	1.6339927816475628	2.16989205564205
F127	1.244933133529058	0.8652933353766361
F128	0.9145559633344161	0.4329822427214757
F129	-0.1396081869158039	2.1727246868297474
F130	2.290565602784815	2.800489677462649
F131	1.206230034955722	1.4102591482381295
F132	1.7086914917473313	0.5822012072048605
F133	1.019123891613145	3.261601492573282
F134	0.0435309300035831	1.3322645657719108
F135	1.3213463782030535	1.2911014127864426
F136	2.6175378284489565	0.9578675177371856
F137	1.4102316882621915	-0.697930232255608
F138	0.8053625689227862	-0.12362880391561881
F139	0.742189694077021	0.2892575609491418
F140	1.000442657470655	1.5066960298085679
F141	1.5511634529331686	0.04679300929638863
F142	2.9503668907119898	1.4042768321781987
F143	-0.3495531653832251	0.3417638356013162
F144	-0.18028781465261368	2.1478746929348347
F145	1.2138432266661332	0.9986423013368014
F146	1.3684595252061178	0.5877960055913494
F147	1.6412048763274312	2.3722885727119905
F148	0.5866550501312308	0.03471262410267972
F149	1.3803410116716508	1.42106931124051
F150	-0.4452208953840435	1.705988679899771
F151	0.4917273981035617	0.99320059326095
F152	1.909809494028461	1.430170399872899
F153	0.5755136125102991	3.1186857245795805
F154	2.781956184034142	0.638757329244993
F155	0.37006571853047543	1.1152322264090941
F156	0.6043020299712702	1.4824438276875962
F157	0.8678937335376176	1.1673807764229682
F158	2.8359696403124484	1.5356361780536827
F159	2.13346552083354	2.114708061665935
F160	0.9800334769180832	0.6036703254264602
F161	2.324151828415392	1.4977135351759523
F162	1.1869036536050173	1.9183420058609428
F163	3.772838081491462	1.0336113364399446
F164	-1.6189096276955044	-0.7670468246843627
F165	-1.077585843880187	0.4254612472156817
F166	0.512084621197415	2.1576435957060887
