	labels	effect_size	microbe_total	class_logits	intercept
S0	-1	1	100000	-1.007553504654508	1
S1	-1	1	100000	-0.616454018397478	1
S2	-1	1	100000	-1.9198417564879109	1
S3	-1	1	100000	2.508130897330353	1
S4	-1	1	100000	1.3986075071001554	1
S5	-1	1	100000	-0.7508286047338235	1
S6	-1	1	100000	-1.5772624970652154	1
S7	-1	1	100000	-0.8834259165640393	1
S8	-1	1	100000	-1.3611774230589946	1
S9	-1	1	100000	-1.4280624167232965	1
S10	-1	1	100000	0.6006266781700409	1
S11	-1	1	100000	-1.1579231422773488	1
S12	-1	1	100000	-0.5291719781931079	1
S13	-1	1	100000	-0.8560913348208044	1
S14	-1	1	100000	0.6298922246457599	1
S15	-1	1	100000	0.7643440783586926	1
S16	-1	1	100000	-1.4076426049714124	1
S17	-1	1	100000	-1.3677677001362132	1
S18	-1	1	100000	0.03561216669297207	1
S19	-1	1	100000	-1.3693460344618558	1
S20	-1	1	100000	-2.6095415679302434	1
S21	-1	1	100000	-1.4220997974914693	1
S22	-1	1	100000	1.0915337091227006	1
S23	-1	1	100000	-0.9394282880355002	1
S24	-1	1	100000	-1.9077830836425163	1
S25	-1	1	100000	-0.8482136014920498	1
S26	-1	1	100000	-0.6783076373595465	1
S27	-1	1	100000	0.4712413476528594	1
S28	-1	1	100000	-0.8161980975342662	1
S29	-1	1	100000	-2.3761763854030313	1
S30	-1	1	100000	-2.098870505449722	1
S31	-1	1	100000	-1.3399268669507811	1
S32	-1	1	100000	0.7203100057872438	1
S33	-1	1	100000	-1.7757268785383153	1
S34	-1	1	100000	0.14926817510375723	1
S35	-1	1	100000	-1.0295430287960383	1
S36	-1	1	100000	-1.2554069218655979	1
S37	-1	1	100000	-2.4034634667765635	1
S38	-1	1	100000	-2.229939432581146	1
S39	-1	1	100000	-3.5465305525770483	1
S40	-1	1	100000	-1.263837060879009	1
S41	-1	1	100000	-1.5410402967655858	1
S42	-1	1	100000	-1.050205323540762	1
S43	-1	1	100000	-0.15400094295635602	1
S44	-1	1	100000	-1.235458016791012	1
S45	-1	1	100000	-2.776535215769906	1
S46	-1	1	100000	-1.9613717469393568	1
S47	-1	1	100000	0.03752763812148774	1
S48	-1	1	100000	-1.3945265269706695	1
S49	-1	1	100000	-0.5972050006145962	1
S50	1	1	100000	1.8874202109725786	1
S51	1	1	100000	1.9969152516837632	1
S52	1	1	100000	0.3573011004224187	1
S53	1	1	100000	1.5573918630007324	1
S54	1	1	100000	1.9512125629276702	1
S55	1	1	100000	1.987703574522002	1
S56	1	1	100000	1.9777398512272821	1
S57	1	1	100000	1.131317242566957	1
S58	1	1	100000	2.9240489630610726	1
S59	1	1	100000	0.8715422732796436	1
S60	1	1	100000	0.6486225064456926	1
S61	1	1	100000	-0.11686196688004258	1
S62	1	1	100000	1.760654034836401	1
S63	1	1	100000	1.885776597555945	1
S64	1	1	100000	1.199579541175825	1
S65	1	1	100000	0.22587011206612162	1
S66	1	1	100000	1.4405649895812398	1
S67	1	1	100000	0.03538563890667701	1
S68	1	1	100000	1.6368593493181463	1
S69	1	1	100000	1.1412619713410403	1
S70	1	1	100000	-1.1587196381186202	1
S71	1	1	100000	2.4520376024927066	1
S72	1	1	100000	0.11340697924309051	1
S73	1	1	100000	2.2576536592721297	1
S74	1	1	100000	1.0119808862005937	1
S75	1	1	100000	0.9048693305475345	1
S76	1	1	100000	-0.7939753838917121	1
S77	1	1	100000	4.72186733264419	1
S78	1	1	100000	1.2617511927515426	1
S79	1	1	100000	2.470223107894639	1
S80	1	1	100000	0.6802846633735808	1
S81	1	1	100000	-0.2680400222170649	1
S82	1	1	100000	1.1493153222432022	1
S83	1	1	100000	-0.4313632815840547	1
S84	1	1	100000	2.0031242761614805	1
S85	1	1	100000	1.917979320560686	1
S86	1	1	100000	1.0433696279660256	1
S87	1	1	100000	0.1571625458426208	1
S88	1	1	100000	-1.5518042309733628	1
S89	1	1	100000	1.646592114007039	1
S90	1	1	100000	0.9409421840061479	1
S91	1	1	100000	-0.37814661708591646	1
S92	1	1	100000	-0.651798769215773	1
S93	1	1	100000	1.231354492783991	1
S94	1	1	100000	0.08411502257076575	1
S95	1	1	100000	-0.07314479234725457	1
S96	1	1	100000	0.43025613332723434	1
S97	1	1	100000	0.15636521772838985	1
S98	1	1	100000	2.0286436507701935	1
S99	1	1	100000	0.06068546020447696	1
