	labels	effect_size	microbe_total	class_logits	intercept
S0	-1	1	100000	-2.5325973752228483	1
S1	-1	1	100000	-0.6783041011331128	1
S2	-1	1	100000	-1.192564313510548	1
S3	-1	1	100000	-1.0283420672309596	1
S4	-1	1	100000	-0.3883979407802117	1
S5	-1	1	100000	-1.1931282676176058	1
S6	-1	1	100000	-1.0837229257791454	1
S7	-1	1	100000	-1.3138681104864007	1
S8	-1	1	100000	1.1178969464985964	1
S9	-1	1	100000	0.32195070547115856	1
S10	-1	1	100000	-0.15242371123604104	1
S11	-1	1	100000	-1.1933965191929614	1
S12	-1	1	100000	-1.2246876247994756	1
S13	-1	1	100000	0.4660959574331265	1
S14	-1	1	100000	-1.923729180095793	1
S15	-1	1	100000	-1.712591885610193	1
S16	-1	1	100000	0.6257805707022437	1
S17	-1	1	100000	-0.463193335006611	1
S18	-1	1	100000	-2.4769205041014035	1
S19	-1	1	100000	-1.4296626649006055	1
S20	-1	1	100000	-0.8624337977997585	1
S21	-1	1	100000	-1.6989216069948414	1
S22	-1	1	100000	-0.5138490122960153	1
S23	-1	1	100000	-0.5343535081709644	1
S24	-1	1	100000	-0.46333971474376534	1
S25	-1	1	100000	-0.5106047936649096	1
S26	-1	1	100000	-0.8507100635133897	1
S27	-1	1	100000	-2.113848771166932	1
S28	-1	1	100000	-0.9738712128734541	1
S29	-1	1	100000	-1.8360344494401661	1
S30	-1	1	100000	-1.0562395883147335	1
S31	-1	1	100000	-0.24167287265859017	1
S32	-1	1	100000	-2.332251721407671	1
S33	-1	1	100000	-1.1790079437537322	1
S34	-1	1	100000	-0.8504583839192268	1
S35	-1	1	100000	-0.04582260166723795	1
S36	-1	1	100000	-0.10720163821392859	1
S37	-1	1	100000	-1.234204671806892	1
S38	-1	1	100000	-3.8024618920275026	1
S39	-1	1	100000	-0.7786836028861011	1
S40	-1	1	100000	-0.5386087712255829	1
S41	-1	1	100000	-1.1713096933562392	1
S42	-1	1	100000	-1.3547256549537563	1
S43	-1	1	100000	-1.1610477522212324	1
S44	-1	1	100000	-2.375422881316097	1
S45	-1	1	100000	-0.6870153115894047	1
S46	-1	1	100000	-1.1494590535247378	1
S47	-1	1	100000	0.569325249991832	1
S48	-1	1	100000	-1.510772064830411	1
S49	-1	1	100000	-1.2992257813060628	1
S50	1	1	100000	-0.08668431003846044	1
S51	1	1	100000	0.3414775502619293	1
S52	1	1	100000	1.1350496617426629	1
S53	1	1	100000	1.0240445299395518	1
S54	1	1	100000	1.259420346577239	1
S55	1	1	100000	1.0256245193186735	1
S56	1	1	100000	1.3315090467096486	1
S57	1	1	100000	0.6742901191046837	1
S58	1	1	100000	3.9049253833118405	1
S59	1	1	100000	0.17042096656295147	1
S60	1	1	100000	1.444325690186673	1
S61	1	1	100000	0.19085882309091495	1
S62	1	1	100000	1.4025847144635986	1
S63	1	1	100000	0.6540849554530235	1
S64	1	1	100000	0.5928017804985919	1
S65	1	1	100000	-0.23157194572699202	1
S66	1	1	100000	0.5140561098060756	1
S67	1	1	100000	2.128506938466999	1
S68	1	1	100000	1.1310114604371733	1
S69	1	1	100000	1.1184629149185827	1
S70	1	1	100000	0.5285372556616666	1
S71	1	1	100000	1.0942213658656492	1
S72	1	1	100000	1.1876490407857891	1
S73	1	1	100000	-0.38602400015148497	1
S74	1	1	100000	0.7084416367128819	1
S75	1	1	100000	1.2026106130310663	1
S76	1	1	100000	1.463385800760812	1
S77	1	1	100000	3.2381527774992307	1
S78	1	1	100000	0.5698533227300362	1
S79	1	1	100000	1.3610189216103015	1
S80	1	1	100000	3.3925646676409045	1
S81	1	1	100000	2.937069315595414	1
S82	1	1	100000	1.1171677292320472	1
S83	1	1	100000	1.0256540341720515	1
S84	1	1	100000	0.5108371126783577	1
S85	1	1	100000	0.9856622780810789	1
S86	1	1	100000	2.96858255242413	1
S87	1	1	100000	0.30680220668310754	1
S88	1	1	100000	0.15481451147078173	1
S89	1	1	100000	0.2597144624246511	1
S90	1	1	100000	0.8151158081415197	1
S91	1	1	100000	0.5407373419902546	1
S92	1	1	100000	1.7640986922680355	1
S93	1	1	100000	1.303528421324669	1
S94	1	1	100000	1.2185256493514611	1
S95	1	1	100000	2.2913409509896687	1
S96	1	1	100000	1.0799692476240437	1
S97	1	1	100000	0.432704785179006	1
S98	1	1	100000	1.393289755713212	1
S99	1	1	100000	0.07213037578448789	1
